OrderID,CustomerID,OrderDate,ShippingDate,DeliveryDate,OrderStatus,PaymentMethod,ShippingMethod,Discount,TotalAmount
104242,5774,2025-12-23,2025-12-26,2025-12-28,Delivered,Debit Card,Express Shipping,0.2,847.43
199677,46771,2025-12-26,2025-12-29,2026-01-03,Delivered,Credit Card,Priority Overnight,0.0,898.12
140200,6459,2024-02-14,2024-02-15,2024-02-18,Delivered,Net Banking,Economy Shipping,0.0,1176.53
132815,21457,2024-06-30,2024-07-02,2024-07-06,Delivered,Net Banking,Express Shipping,0.0,5283.58
408698,26511,2025-06-18,2025-06-19,2025-06-22,Delivered,Credit Card,Priority Overnight,0.05,3528.51
163281,26693,2025-08-23,2025-08-25,2025-08-28,Delivered,UPI,Standard Shipping,0.2,990.47
215759,23929,2025-08-10,2025-08-12,2025-08-16,Delivered,Credit Card,Standard Shipping,0.0,2521.03
442317,3365,2024-12-03,2024-12-06,2024-12-10,Delivered,UPI,Standard Shipping,0.15,402.93
6941,24354,2024-10-16,2024-10-17,2024-10-19,Delivered,UPI,Standard Shipping,0.0,1760.43
382311,59298,2025-09-12,2025-09-13,2025-09-15,Delivered,Credit Card,Express Shipping,0.15,701.17
472237,98998,2024-11-04,2024-11-05,2024-11-09,Delivered,Credit Card,Priority Overnight,0.0,896.01
309087,12578,2025-08-29,2025-08-30,2025-09-03,Delivered,UPI,Standard Shipping,0.05,4196.18
230673,94229,2023-12-09,2023-12-12,2023-12-14,Delivered,Debit Card,Standard Shipping,0.05,448.37
209237,41735,2025-05-19,2025-05-20,2025-05-22,Delivered,Credit Card,Express Shipping,0.05,898.66
102954,28755,2025-09-12,2025-09-14,2025-09-18,Delivered,Debit Card,Express Shipping,0.0,962.77
419700,10395,2024-11-11,2024-11-12,2024-11-14,Delivered,Credit Card,Express Shipping,0.15,255.84
81781,8962,2025-12-16,2025-12-17,2025-12-19,Returned,Credit Card,Standard Shipping,0.15,3569.19
274642,91410,2024-11-19,2024-11-21,2024-11-24,Delivered,Credit Card,Express Shipping,0.15,1250.5
133795,28840,2025-10-28,2025-10-30,2025-11-01,Delivered,Debit Card,Standard Shipping,0.1,1220.08
230533,6909,2025-12-07,2025-12-08,2025-12-10,Delivered,Credit Card,Standard Shipping,0.0,704.75
305857,33456,2024-12-20,2024-12-22,2024-12-25,Delivered,Credit Card,Express Shipping,0.0,2085.54
194412,9106,2024-01-09,2024-01-10,2024-01-13,Delivered,Credit Card,Standard Shipping,0.0,4766.51
173648,69539,2025-02-21,2025-02-23,2025-02-28,Delivered,Net Banking,Express Shipping,0.05,730.49
76147,78575,2025-03-22,2025-03-23,2025-03-28,Delivered,Debit Card,Economy Shipping,0.0,955.97
452805,33394,2024-11-25,2024-11-26,2024-11-30,Delivered,Credit Card,Express Shipping,0.0,2645.42
119496,27781,2025-06-15,2025-06-17,2025-06-20,Delivered,Debit Card,Standard Shipping,0.0,1755.86
3750,63242,2023-01-07,,,Cancelled,Credit Card,Express Shipping,0.0,1417.97
158068,80313,2024-11-07,2024-11-08,2024-11-11,Returned,Net Banking,Economy Shipping,0.1,317.62
423414,56629,2025-12-01,,,Cancelled,Credit Card,Standard Shipping,0.0,386.09
255716,34488,2025-11-13,2025-11-16,2025-11-19,Delivered,Credit Card,Priority Overnight,0.05,7129.46
81048,21335,2024-09-27,2024-09-29,2024-10-02,Delivered,UPI,Priority Overnight,0.0,2603.95
259442,60192,2024-12-19,2024-12-21,2024-12-23,Delivered,Credit Card,Standard Shipping,0.1,747.13
226643,19346,2024-08-27,2024-08-29,2024-08-31,Delivered,Credit Card,Standard Shipping,0.1,3200.11
80409,60683,2025-10-10,2025-10-11,2025-10-14,Delivered,Net Banking,Economy Shipping,0.0,420.27
179266,9115,2023-08-06,2023-08-07,2023-08-09,Delivered,Credit Card,Express Shipping,0.05,418.93
429382,84246,2024-11-10,2024-11-12,2024-11-14,Delivered,UPI,Express Shipping,0.0,1693.17
443376,85226,2025-11-28,2025-12-01,2025-12-05,Delivered,Net Banking,Standard Shipping,0.15,1151.69
136653,19770,2025-05-30,,,Pending,Wallet,Standard Shipping,0.0,5376.93
447626,87579,2025-01-25,2025-01-28,2025-01-31,Delivered,Credit Card,Standard Shipping,0.15,7026.94
263902,16492,2024-07-04,2024-07-06,2024-07-10,Delivered,UPI,Priority Overnight,0.05,754.26
340120,31772,2023-11-27,2023-11-28,2023-11-30,Delivered,Credit Card,Standard Shipping,0.2,2498.18
43172,82610,2025-12-18,2025-12-19,2025-12-21,Delivered,Credit Card,Standard Shipping,0.0,1078.16
246412,11999,2025-11-25,2025-11-26,2025-11-30,Delivered,UPI,Economy Shipping,0.05,895.59
314882,71022,2025-11-11,2025-11-12,2025-11-16,Delivered,Debit Card,Standard Shipping,0.0,1390.95
302088,50057,2025-06-22,2025-06-24,2025-06-26,Delivered,UPI,Standard Shipping,0.1,924.06
186083,36128,2024-10-02,2024-10-04,2024-10-07,Delivered,Net Banking,Express Shipping,0.0,4355.25
148767,29059,2024-09-15,2024-09-16,2024-09-19,Delivered,UPI,Standard Shipping,0.05,1287.75
319416,734,2025-10-11,2025-10-12,2025-10-14,Delivered,Debit Card,Express Shipping,0.0,480.92
86173,37633,2024-03-19,2024-03-21,2024-03-23,Delivered,UPI,Express Shipping,0.2,849.59
133648,28783,2024-07-17,2024-07-18,2024-07-21,Delivered,Credit Card,Standard Shipping,0.0,853.11
259271,22831,2024-07-12,2024-07-14,2024-07-17,Delivered,COD,Standard Shipping,0.0,353.96
232596,94353,2023-04-18,2023-04-20,2023-04-22,Delivered,Debit Card,Express Shipping,0.05,658.88
214740,23835,2024-09-12,2024-09-14,2024-09-16,Delivered,Debit Card,Priority Overnight,0.0,2881.51
397925,68198,2022-12-01,2022-12-03,2022-12-06,Returned,Debit Card,Express Shipping,0.0,679.23
99407,76743,2025-08-15,2025-08-17,2025-08-21,Delivered,Wallet,Express Shipping,0.05,1616.86
230884,4604,2025-07-31,2025-08-01,2025-08-06,Delivered,Debit Card,Express Shipping,0.0,348.99
261174,24979,2024-03-19,2024-03-20,2024-03-23,Delivered,Debit Card,Standard Shipping,0.0,4089.36
479492,81260,2024-06-04,2024-06-05,2024-06-10,Delivered,Debit Card,Express Shipping,0.1,2382.59
462672,64921,2025-07-26,2025-07-27,2025-07-30,Delivered,Credit Card,Express Shipping,0.0,3435.43
224949,59366,2024-12-19,2024-12-21,2024-12-23,Delivered,Credit Card,Standard Shipping,0.0,1830.01
421374,32729,2023-09-28,2023-09-30,2023-10-03,Delivered,Credit Card,Standard Shipping,0.1,5154.22
378075,59887,2025-04-01,2025-04-03,2025-04-06,Delivered,Credit Card,Standard Shipping,0.15,452.91
284121,45138,2025-11-30,2025-12-01,2025-12-03,Delivered,Debit Card,Express Shipping,0.0,4929.48
107866,98864,2022-12-29,2022-12-31,2023-01-02,Delivered,Net Banking,Standard Shipping,0.05,17.09
137413,31203,2023-04-04,2023-04-06,2023-04-11,Delivered,UPI,Standard Shipping,0.1,2268.4
100204,88769,2024-11-14,2024-11-17,2024-11-19,Delivered,Debit Card,Standard Shipping,0.0,3011.22
285815,68353,2025-09-22,2025-09-24,2025-09-28,Delivered,Debit Card,Standard Shipping,0.0,1768.97
168012,5001,2025-12-30,,,Pending,UPI,Standard Shipping,0.1,3177.63
159581,80319,2025-12-14,2025-12-17,2025-12-19,Delivered,UPI,Standard Shipping,0.0,1470.97
490936,64990,2025-07-20,2025-07-23,2025-07-25,Delivered,COD,Standard Shipping,0.0,1334.79
59417,82601,2025-11-15,2025-11-17,2025-11-19,Delivered,UPI,Express Shipping,0.0,3176.88
251204,80315,2025-10-26,2025-10-28,2025-10-31,Delivered,Wallet,Express Shipping,0.05,346.51
483961,61631,2025-11-10,2025-11-11,2025-11-14,Delivered,Credit Card,Standard Shipping,0.0,471.78
128701,10881,2025-10-07,2025-10-08,2025-10-11,Delivered,Credit Card,Priority Overnight,0.0,2317.46
425411,82427,2025-12-05,2025-12-08,2025-12-12,Delivered,Net Banking,Economy Shipping,0.0,343.74
